onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	89	n/a	n/a	S24_2	False	89	.	7	.	.	.	n/a
9536.0	186	engineer	Engineers	S24_2	False	186	1	0	t.05.01	4138	13674	9536.0
9740.0	260	engineer	Engineers	S24_2	False	260	1	204	t.05.01	4138	13674	9536.0
10025.0	329	design	design	S24_2	False	329	2	489	t.05.01	4138	13674	9536.0
10379.0	303	electric	electrical	S24_2	False	303	3	843	t.05.01	4138	13674	9536.0
10713.0	309	circuit	circuits	S24_2	False	309	4	1177	t.05.01	4138	13674	9536.0
11047.0	233	power	power	S24_2	False	233	6	1511	t.05.01	4138	13674	9536.0
11292.0	188	to	to	S24_2	False	188	5	1756	t.05.01	4138	13674	9536.0
11518.0	438	home	homes	S24_2	False	438	7	1982	t.05.01	4138	13674	9536.0
11980.0	316	building	buildings.	S24_2	False	316	9	2444	t.05.01	4138	13674	9536.0
12380.0	301	design	design	S24_2	False	301	2	2844	t.05.01	4138	13674	9536.0
12751.0	445	home	homes	S24_2	False	445	7	3215	t.05.01	4138	13674	9536.0
13402.0	221	design	design	S24_2	False	221	2	3866	t.05.01	4138	13674	9536.0
13649.0	115	design	design	S24_2	False	115	2	4113	t.05.01	4138	13674	9536.0
n/a	84	n/a	n/a	S24_2	False	84	.	7	.	.	.	n/a
15191.0	180	electric	Electrical	S24_2	False	180	1	0	t.05.02	3178	18369	15191.0
15387.0	157	electric	Electrical	S24_2	False	157	1	196	t.05.02	3178	18369	15191.0
15577.0	381	circuit	circuits	S24_2	False	381	2	386	t.05.02	3178	18369	15191.0
15981.0	241	be	are	S24_2	False	241	3	790	t.05.02	3178	18369	15191.0
16247.0	219	close	closed	S24_2	False	219	4	1056	t.05.02	3178	18369	15191.0
16480.0	229	path	paths	S24_2	False	229	5	1289	t.05.02	3178	18369	15191.0
16742.0	86	close	closed	S24_2	False	86	4	1551	t.05.02	3178	18369	15191.0
16867.0	431	that	that	S24_2	False	431	6	1676	t.05.02	3178	18369	15191.0
17336.0	346	flow	flows	S24_2	False	346	8	2145	t.05.02	3178	18369	15191.0
17706.0	170	through	through.	S24_2	False	170	9	2515	t.05.02	3178	18369	15191.0
18078.0	365	close	closed	S24_2	False	365	4	2887	t.05.02	3178	18369	15191.0
n/a	62	n/a	n/a	S24_2	False	62	.	34	.	.	.	n/a
19928.0	172	path	path	S24_2	False	172	6	0	t.05.03	3278	23206	19928.0
20150.0	128	that	that	S24_2	False	128	3	222	t.05.03	3278	23206	19928.0
20300.0	319	mean	means	S24_2	False	319	2	372	t.05.03	3278	23206	19928.0
20652.0	257	that	that	S24_2	False	257	3	724	t.05.03	3278	23206	19928.0
20942.0	363	entire	entire	S24_2	False	363	5	1014	t.05.03	3278	23206	19928.0
21327.0	254	must	must	S24_2	False	254	7	1399	t.05.03	3278	23206	19928.0
21599.0	184	be	be	S24_2	False	184	8	1671	t.05.03	3278	23206	19928.0
21807.0	187	connect	connected	S24_2	False	187	9	1879	t.05.03	3278	23206	19928.0
22011.0	102	connect	connected	S24_2	False	102	9	2083	t.05.03	3278	23206	19928.0
22151.0	196	a	a	S24_2	False	196	11	2223	t.05.03	3278	23206	19928.0
22364.0	287	like	like	S24_2	False	287	10	2436	t.05.03	3278	23206	19928.0
22856.0	137	entire	entire	S24_2	False	137	5	2928	t.05.03	3278	23206	19928.0
23028.0	284	that	that	S24_2	False	284	3	3100	t.05.03	3278	23206	19928.0
n/a	90	n/a	n/a	S24_2	False	90	.	7	.	.	.	n/a
24765.0	183	circuit	circuit	S24_2	False	183	4	0	t.05.04	4213	28978	24765.0
24983.0	176	simple	simple	S24_2	False	176	3	218	t.05.04	4213	28978	24765.0
25174.0	283	n/a	n/a	S24_2	False	283	.	409	t.05.04	4213	28978	24765.0
25475.0	305	simple	simple	S24_2	False	305	3	710	t.05.04	4213	28978	24765.0
25809.0	274	circuit	circuit	S24_2	False	274	4	1044	t.05.04	4213	28978	24765.0
26116.0	287	make	made	S24_2	False	287	5	1351	t.05.04	4213	28978	24765.0
26423.0	215	with	with	S24_2	False	215	6	1658	t.05.04	4213	28978	24765.0
26656.0	207	battery	battery	S24_2	False	207	8	1891	t.05.04	4213	28978	24765.0
26888.0	456	a	a	S24_2	False	456	10	2123	t.05.04	4213	28978	24765.0
27363.0	234	piece	piece	S24_2	False	234	11	2598	t.05.04	4213	28978	24765.0
27622.0	279	wire	wire.	S24_2	False	279	13	2857	t.05.04	4213	28978	24765.0
27929.0	115	a	a	S24_2	False	115	10	3164	t.05.04	4213	28978	24765.0
28235.0	158	with	with	S24_2	False	158	6	3470	t.05.04	4213	28978	24765.0
28410.0	210	make	made	S24_2	False	210	5	3645	t.05.04	4213	28978	24765.0
28668.0	270	a	a	S24_2	False	270	10	3903	t.05.04	4213	28978	24765.0
28969.0	104	of	of	S24_2	False	104	12	4204	t.05.04	4213	28978	24765.0
n/a	86	n/a	n/a	S24_2	False	86	.	7	.	.	.	n/a
30537.0	376	connect	connect	S24_2	False	376	2	0	t.05.05	4068	34605	30537.0
30939.0	324	each	each	S24_2	False	324	3	402	t.05.05	4068	34605	30537.0
31288.0	372	of	of	S24_2	False	372	5	751	t.05.05	4068	34605	30537.0
31681.0	118	wire	wire	S24_2	False	118	7	1144	t.05.05	4068	34605	30537.0
31824.0	224	of	of	S24_2	False	224	5	1287	t.05.05	4068	34605	30537.0
32062.0	194	the	the	S24_2	False	194	6	1525	t.05.05	4068	34605	30537.0
32293.0	213	different	different	S24_2	False	213	9	1756	t.05.05	4068	34605	30537.0
32519.0	205	to	to	S24_2	False	205	8	1982	t.05.05	4068	34605	30537.0
32756.0	166	different	different	S24_2	False	166	9	2219	t.05.05	4068	34605	30537.0
32958.0	148	of	of	S24_2	False	148	11	2421	t.05.05	4068	34605	30537.0
33126.0	355	end	ends	S24_2	False	355	10	2589	t.05.05	4068	34605	30537.0
33509.0	115	the	the	S24_2	False	115	12	2972	t.05.05	4068	34605	30537.0
33848.0	130	the	the	S24_2	False	130	12	3311	t.05.05	4068	34605	30537.0
34030.0	192	wire	wire	S24_2	False	192	7	3493	t.05.05	4068	34605	30537.0
34279.0	327	each	each	S24_2	False	327	3	3742	t.05.05	4068	34605	30537.0
34629.0	65	connect	connect	S24_2	False	65	2	4092	t.05.05	4068	34605	30537.0
n/a	87	n/a	n/a	S24_2	False	87	.	7	.	.	.	n/a
36141.0	198	your	Your	S24_2	False	198	1	0	t.05.06	3480	39621	36141.0
36351.0	168	piece	piece	S24_2	False	168	2	210	t.05.06	3480	39621	36141.0
36542.0	216	wire	wire	S24_2	False	216	4	401	t.05.06	3480	39621	36141.0
36768.0	198	of	of	S24_2	False	198	3	627	t.05.06	3480	39621	36141.0
36993.0	361	battery	battery	S24_2	False	361	6	852	t.05.06	3480	39621	36141.0
37377.0	290	now	now	S24_2	False	290	7	1236	t.05.06	3480	39621	36141.0
37691.0	272	circle	circle	S24_2	False	272	10	1550	t.05.06	3480	39621	36141.0
37996.0	165	or	or	S24_2	False	165	11	1855	t.05.06	3480	39621	36141.0
38182.0	228	circular	circular	S24_2	False	228	12	2041	t.05.06	3480	39621	36141.0
38421.0	181	circular	circular	S24_2	False	181	12	2280	t.05.06	3480	39621	36141.0
38625.0	163	or	or	S24_2	False	163	11	2484	t.05.06	3480	39621	36141.0
38828.0	139	path	path.	S24_2	False	139	13	2687	t.05.06	3480	39621	36141.0
39165.0	236	wire	wire	S24_2	False	236	4	3024	t.05.06	3480	39621	36141.0
39435.0	277	piece	piece	S24_2	False	277	2	3294	t.05.06	3480	39621	36141.0
n/a	89	n/a	n/a	S24_2	False	89	.	7	.	.	.	n/a
41195.0	207	the	the	S24_2	False	207	4	0	t.05.07	2662	43857	41195.0
41422.0	251	end	end	S24_2	False	251	2	227	t.05.07	2662	43857	41195.0
41708.0	188	the	the	S24_2	False	188	4	513	t.05.07	2662	43857	41195.0
41916.0	174	battery	battery	S24_2	False	174	5	721	t.05.07	2662	43857	41195.0
