onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	87	n/a	n/a	S44_1	False	87	.	7	.	.	.	n/a
9540.0	191	global	Global	S44_1	False	191	1	0	t.04.01	3418	12958	9540.0
9756.0	230	positioning	Positioning	S44_1	False	230	2	216	t.04.01	3418	12958	9540.0
10014.0	377	positioning	Positioning	S44_1	False	377	2	474	t.04.01	3418	12958	9540.0
10419.0	285	system	System	S44_1	False	285	3	879	t.04.01	3418	12958	9540.0
10735.0	189	GPS	(GPS)	S44_1	False	189	4	1195	t.04.01	3418	12958	9540.0
10955.0	125	system	system	S44_1	False	125	7	1415	t.04.01	3418	12958	9540.0
11103.0	179	a	a	S44_1	False	179	6	1563	t.04.01	3418	12958	9540.0
11314.0	204	that	that	S44_1	False	204	8	1774	t.04.01	3418	12958	9540.0
11547.0	244	help	helps	S44_1	False	244	9	2007	t.04.01	3418	12958	9540.0
11816.0	276	navigate	navigate.	S44_1	False	276	11	2276	t.04.01	3418	12958	9540.0
12116.0	128	navigate	navigate.	S44_1	False	128	11	2576	t.04.01	3418	12958	9540.0
12320.0	725	a	a	S44_1	False	725	6	2780	t.04.01	3418	12958	9540.0
n/a	87	n/a	n/a	S44_1	False	87	.	7	.	.	.	n/a
14511.0	198	n/a	n/a	S44_1	False	198	.	0	t.04.02	2606	17117	14511.0
14735.0	130	be	is	S44_1	False	130	2	224	t.04.02	2606	17117	14511.0
14892.0	183	GPS	GPS	S44_1	False	183	1	381	t.04.02	2606	17117	14511.0
15108.0	219	system	system	S44_1	False	219	4	597	t.04.02	2606	17117	14511.0
15364.0	250	of	of	S44_1	False	250	5	853	t.04.02	2606	17117	14511.0
15632.0	188	n/a	24	S44_1	False	188	6	1121	t.04.02	2606	17117	14511.0
15842.0	183	more	more	S44_1	False	183	8	1331	t.04.02	2606	17117	14511.0
16043.0	239	more	more	S44_1	False	239	8	1532	t.04.02	2606	17117	14511.0
16302.0	55	satellite	satellites	S44_1	False	55	9	1791	t.04.02	2606	17117	14511.0
16366.0	144	satellite	satellites	S44_1	False	144	9	1855	t.04.02	2606	17117	14511.0
16539.0	166	space	space.	S44_1	False	166	11	2028	t.04.02	2606	17117	14511.0
16723.0	192	space	space.	S44_1	False	192	11	2212	t.04.02	2606	17117	14511.0
16948.0	143	or	or	S44_1	False	143	7	2437	t.04.02	2606	17117	14511.0
17125.0	79	of	of	S44_1	False	79	5	2614	t.04.02	2606	17117	14511.0
n/a	88	n/a	n/a	S44_1	False	88	.	7	.	.	.	n/a
18647.0	189	these	These	S44_1	False	189	1	0	t.04.03	3507	22154	18647.0
18859.0	190	satellite	satellites	S44_1	False	190	2	212	t.04.03	3507	22154	18647.0
19073.0	166	satellite	satellites	S44_1	False	166	2	426	t.04.03	3507	22154	18647.0
19265.0	165	these	These	S44_1	False	165	1	618	t.04.03	3507	22154	18647.0
19454.0	62	satellite	satellites	S44_1	False	62	2	807	t.04.03	3507	22154	18647.0
19548.0	195	orbit	orbit	S44_1	False	195	3	901	t.04.03	3507	22154	18647.0
19766.0	162	at	at	S44_1	False	162	4	1119	t.04.03	3507	22154	18647.0
19949.0	115	about	about	S44_1	False	115	5	1302	t.04.03	3507	22154	18647.0
20078.0	275	about	about	S44_1	False	275	5	1431	t.04.03	3507	22154	18647.0
20377.0	186	n/a	12,000	S44_1	False	186	6	1730	t.04.03	3507	22154	18647.0
20588.0	241	n/a	12,000	S44_1	False	241	6	1941	t.04.03	3507	22154	18647.0
20863.0	230	above	above	S44_1	False	230	8	2216	t.04.03	3507	22154	18647.0
21126.0	153	the	the	S44_1	False	153	9	2479	t.04.03	3507	22154	18647.0
21297.0	180	the	the	S44_1	False	180	9	2650	t.04.03	3507	22154	18647.0
21503.0	164	earth	Earth.	S44_1	False	164	10	2856	t.04.03	3507	22154	18647.0
21747.0	282	satellite	satellites	S44_1	False	282	2	3100	t.04.03	3507	22154	18647.0
22065.0	176	these	These	S44_1	False	176	1	3418	t.04.03	3507	22154	18647.0
n/a	84	n/a	n/a	S44_1	False	84	.	7	.	.	.	n/a
23685.0	183	different	Different	S44_1	False	183	1	0	t.04.04	3306	26991	23685.0
23894.0	147	different	Different	S44_1	False	147	1	209	t.04.04	3306	26991	23685.0
24063.0	143	satellite	satellites	S44_1	False	143	2	378	t.04.04	3306	26991	23685.0
24228.0	147	satellite	satellites	S44_1	False	147	2	543	t.04.04	3306	26991	23685.0
24401.0	105	the	the	S44_1	False	105	4	716	t.04.04	3306	26991	23685.0
24529.0	158	orbit	orbit	S44_1	False	158	3	844	t.04.04	3306	26991	23685.0
24711.0	254	earth	Earth	S44_1	False	254	5	1026	t.04.04	3306	26991	23685.0
24984.0	107	earth	Earth	S44_1	False	107	5	1299	t.04.04	3306	26991	23685.0
25115.0	202	the	the	S44_1	False	202	4	1430	t.04.04	3306	26991	23685.0
25339.0	179	earth	Earth	S44_1	False	179	5	1654	t.04.04	3306	26991	23685.0
25544.0	215	different	different	S44_1	False	215	7	1859	t.04.04	3306	26991	23685.0
25792.0	340	different	different	S44_1	False	340	7	2107	t.04.04	3306	26991	23685.0
26164.0	263	location	locations.	S44_1	False	263	8	2479	t.04.04	3306	26991	23685.0
26455.0	238	location	locations.	S44_1	False	238	8	2770	t.04.04	3306	26991	23685.0
26723.0	161	different	different	S44_1	False	161	7	3038	t.04.04	3306	26991	23685.0
26933.0	153	satellite	satellites	S44_1	False	153	2	3248	t.04.04	3306	26991	23685.0
n/a	89	n/a	n/a	S44_1	False	89	.	7	.	.	.	n/a
28522.0	363	circle	circle	S44_1	False	363	2	0	t.04.05	3904	32426	28522.0
28909.0	179	circle	circle	S44_1	False	179	2	387	t.04.05	3904	32426	28522.0
29095.0	149	circle	circle	S44_1	False	149	2	573	t.04.05	3904	32426	28522.0
29268.0	176	the	the	S44_1	False	176	3	746	t.04.05	3904	32426	28522.0
29460.0	215	earth	Earth	S44_1	False	215	4	938	t.04.05	3904	32426	28522.0
29697.0	230	along	along	S44_1	False	230	5	1175	t.04.05	3904	32426	28522.0
29949.0	229	along	along	S44_1	False	229	5	1427	t.04.05	3904	32426	28522.0
30200.0	106	of	of	S44_1	False	106	7	1678	t.04.05	3904	32426	28522.0
30326.0	247	of	of	S44_1	False	247	7	1804	t.04.05	3904	32426	28522.0
30599.0	366	along	along	S44_1	False	366	5	2077	t.04.05	3904	32426	28522.0
31000.0	102	of	of	S44_1	False	102	7	2478	t.04.05	3904	32426	28522.0
31123.0	214	of	of	S44_1	False	214	7	2601	t.04.05	3904	32426	28522.0
31363.0	161	n/a	6	S44_1	False	161	8	2841	t.04.05	3904	32426	28522.0
31550.0	229	orbit	orbits	S44_1	False	229	9	3028	t.04.05	3904	32426	28522.0
31803.0	284	continuous	continuously.	S44_1	False	284	10	3281	t.04.05	3904	32426	28522.0
32111.0	260	continuous	continuously.	S44_1	False	260	10	3589	t.04.05	3904	32426	28522.0
32409.0	105	of	of	S44_1	False	105	7	3887	t.04.05	3904	32426	28522.0
n/a	90	n/a	n/a	S44_1	False	90	.	7	.	.	.	n/a
33960.0	182	they	They	S44_1	False	182	1	0	t.04.06	3143	37103	33960.0
34163.0	155	send	send	S44_1	False	155	2	203	t.04.06	3143	37103	33960.0
34337.0	256	information	information	S44_1	False	256	3	377	t.04.06	3143	37103	33960.0
34620.0	146	information	information	S44_1	False	146	3	660	t.04.06	3143	37103	33960.0
34783.0	278	information	information	S44_1	False	278	3	823	t.04.06	3143	37103	33960.0
35084.0	233	n/a	n/a	S44_1	False	233	.	1124	t.04.06	3143	37103	33960.0
35329.0	236	a	a	S44_1	False	236	5	1369	t.04.06	3143	37103	33960.0
35588.0	186	receiver	receiver	S44_1	False	186	7	1628	t.04.06	3143	37103	33960.0
35799.0	225	receiver	receiver	S44_1	False	225	7	1839	t.04.06	3143	37103	33960.0
36050.0	143	earth	Earth.	S44_1	False	143	9	2090	t.04.06	3143	37103	33960.0
36216.0	217	on	on	S44_1	False	217	8	2256	t.04.06	3143	37103	33960.0
36452.0	733	earth	Earth.	S44_1	False	733	9	2492	t.04.06	3143	37103	33960.0
n/a	90	n/a	n/a	S44_1	False	90	.	7	.	.	.	n/a
38647.0	210	be	is	S44_1	False	210	3	0	t.04.07	3665	42312	38647.0
38880.0	80	information	information	S44_1	False	80	2	233	t.04.07	3665	42312	38647.0
38983.0	114	information	information	S44_1	False	114	2	336	t.04.07	3665	42312	38647.0
39117.0	147	information	information	S44_1	False	147	2	470	t.04.07	3665	42312	38647.0
