onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	85	n/a	n/a	S110_3	False	85	.	7	.	.	.	n/a
9537.0	202	two	Two	S110_3	False	202	1	0	t.03.01	3179	12717	9537.0
9764.0	238	important	important	S110_3	False	238	2	227	t.03.01	3179	12717	9537.0
10039.0	261	concept	concepts	S110_3	False	261	4	502	t.03.01	3179	12717	9537.0
10314.0	212	concept	concepts	S110_3	False	212	4	777	t.03.01	3179	12717	9537.0
10556.0	305	combination	combinations	S110_3	False	305	6	1019	t.03.01	3179	12717	9537.0
10891.0	151	concept	concepts	S110_3	False	151	4	1354	t.03.01	3179	12717	9537.0
11064.0	322	combination	combinations	S110_3	False	322	6	1527	t.03.01	3179	12717	9537.0
11414.0	222	combination	combinations	S110_3	False	222	6	1877	t.03.01	3179	12717	9537.0
11670.0	298	permutation	permutations.	S110_3	False	298	8	2133	t.03.01	3179	12717	9537.0
12001.0	311	combination	combinations	S110_3	False	311	6	2464	t.03.01	3179	12717	9537.0
12352.0	461	permutation	permutations.	S110_3	False	461	8	2815	t.03.01	3179	12717	9537.0
n/a	89	n/a	n/a	S110_3	False	89	.	7	.	.	.	n/a
14258.0	178	combination	Combinations	S110_3	False	178	1	0	t.03.02	1807	16065	14258.0
14462.0	232	combination	Combinations	S110_3	False	232	1	204	t.03.02	1807	16065	14258.0
14720.0	250	permutation	permutations	S110_3	False	250	3	462	t.03.02	1807	16065	14258.0
15000.0	187	be	are	S110_3	False	187	4	742	t.03.02	1807	16065	14258.0
15213.0	195	in	in	S110_3	False	195	6	955	t.03.02	1807	16065	14258.0
15431.0	192	several	several	S110_3	False	192	7	1173	t.03.02	1807	16065	14258.0
15652.0	301	similar	similar	S110_3	False	301	5	1394	t.03.02	1807	16065	14258.0
15972.0	107	similar	similar	S110_3	False	107	5	1714	t.03.02	1807	16065	14258.0
16115.0	32	several	several	S110_3	False	32	7	1857	t.03.02	1807	16065	14258.0
n/a	87	n/a	n/a	S110_3	False	87	.	7	.	.	.	n/a
17594.0	189	both	Both	S110_3	False	189	1	0	t.03.03	1457	19051	17594.0
17809.0	185	refer	refer	S110_3	False	185	2	215	t.03.03	1457	19051	17594.0
18020.0	183	of	of	S110_3	False	183	5	426	t.03.03	1457	19051	17594.0
18223.0	149	object	objects	S110_3	False	149	6	629	t.03.03	1457	19051	17594.0
18400.0	190	pick	pick	S110_3	False	190	9	806	t.03.03	1457	19051	17594.0
18626.0	323	arrange	arrange	S110_3	False	323	11	1032	t.03.03	1457	19051	17594.0
18974.0	167	order	order.	S110_3	False	167	13	1380	t.03.03	1457	19051	17594.0
n/a	84	n/a	n/a	S110_3	False	84	.	7	.	.	.	n/a
20596.0	205	set	set	S110_3	False	205	2	0	t.03.04	2133	22729	20596.0
20822.0	212	could	could	S110_3	False	212	3	226	t.03.04	2133	22729	20596.0
21062.0	273	number	numbers	S110_3	False	273	6	466	t.03.04	2133	22729	20596.0
21362.0	224	through	through	S110_3	False	224	8	766	t.03.04	2133	22729	20596.0
21608.0	128	n/a	9,	S110_3	False	128	9	1012	t.03.04	2133	22729	20596.0
21772.0	221	pizza	pizza	S110_3	False	221	12	1176	t.03.04	2133	22729	20596.0
22011.0	211	pizza	pizza	S110_3	False	211	12	1415	t.03.04	2133	22729	20596.0
22240.0	101	topping	toppings.	S110_3	False	101	13	1644	t.03.04	2133	22729	20596.0
22375.0	400	available	available	S110_3	False	400	11	1779	t.03.04	2133	22729	20596.0
n/a	84	n/a	n/a	S110_3	False	84	.	7	.	.	.	n/a
24339.0	165	permutation	permutations,	S110_3	False	165	4	57	t.03.05	2411	26693	24282.0
24546.0	330	combination	combinations	S110_3	False	330	2	264	t.03.05	2411	26693	24282.0
24914.0	328	permutation	permutations,	S110_3	False	328	4	632	t.03.05	2411	26693	24282.0
25282.0	266	select	selected	S110_3	False	266	7	1000	t.03.05	2411	26693	24282.0
25567.0	86	be	are	S110_3	False	86	6	1285	t.03.05	2411	26693	24282.0
25691.0	212	set	set.	S110_3	False	212	10	1409	t.03.05	2411	26693	24282.0
25925.0	181	n/a	n/a	S110_3	False	181	.	1643	t.03.05	2411	26693	24282.0
26123.0	408	select	selected	S110_3	False	408	7	1841	t.03.05	2411	26693	24282.0
26561.0	227	set	set.	S110_3	False	227	10	2279	t.03.05	2411	26693	24282.0
n/a	86	n/a	n/a	S110_3	False	86	.	7	.	.	.	n/a
