onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	87	n/a	n/a	S214_3	False	87	.	7	.	.	.	n/a
9522.0	184	n/a	n/a	S214_3	False	184	.	0	t.05.01	5020	14542	9522.0
9731.0	167	engineer	Engineers	S214_3	False	167	1	209	t.05.01	5020	14542	9522.0
9924.0	336	design	design	S214_3	False	336	2	402	t.05.01	5020	14542	9522.0
10296.0	207	electric	electrical	S214_3	False	207	3	774	t.05.01	5020	14542	9522.0
10545.0	226	circuit	circuits	S214_3	False	226	4	1023	t.05.01	5020	14542	9522.0
10808.0	234	power	power	S214_3	False	234	6	1286	t.05.01	5020	14542	9522.0
11068.0	242	home	homes	S214_3	False	242	7	1546	t.05.01	5020	14542	9522.0
11354.0	142	building	buildings.	S214_3	False	142	9	1832	t.05.01	5020	14542	9522.0
11651.0	453	building	buildings.	S214_3	False	453	9	2129	t.05.01	5020	14542	9522.0
12185.0	273	design	design	S214_3	False	273	2	2663	t.05.01	5020	14542	9522.0
12481.0	164	engineer	Engineers	S214_3	False	164	1	2959	t.05.01	5020	14542	9522.0
12854.0	141	design	design	S214_3	False	141	2	3332	t.05.01	5020	14542	9522.0
13036.0	150	electric	electrical	S214_3	False	150	3	3514	t.05.01	5020	14542	9522.0
13237.0	246	engineer	Engineers	S214_3	False	246	1	3715	t.05.01	5020	14542	9522.0
13522.0	186	design	design	S214_3	False	186	2	4000	t.05.01	5020	14542	9522.0
13769.0	406	circuit	circuits	S214_3	False	406	4	4247	t.05.01	5020	14542	9522.0
14224.0	247	home	homes	S214_3	False	247	7	4702	t.05.01	5020	14542	9522.0
14512.0	113	building	buildings.	S214_3	False	113	9	4990	t.05.01	5020	14542	9522.0
n/a	87	n/a	n/a	S214_3	False	87	.	7	.	.	.	n/a
16061.0	184	n/a	n/a	S214_3	False	184	.	0	t.05.02	3703	19764	16061.0
16275.0	141	electric	Electrical	S214_3	False	141	1	214	t.05.02	3703	19764	16061.0
16442.0	278	circuit	circuits	S214_3	False	278	2	381	t.05.02	3703	19764	16061.0
16750.0	285	close	closed	S214_3	False	285	4	689	t.05.02	3703	19764	16061.0
17076.0	163	that	that	S214_3	False	163	6	1015	t.05.02	3703	19764	16061.0
17258.0	122	path	paths	S214_3	False	122	5	1197	t.05.02	3703	19764	16061.0
17425.0	308	electricity	electricity	S214_3	False	308	7	1364	t.05.02	3703	19764	16061.0
17757.0	235	that	that	S214_3	False	235	6	1696	t.05.02	3703	19764	16061.0
18033.0	204	flow	flows	S214_3	False	204	8	1972	t.05.02	3703	19764	16061.0
18277.0	407	through	through.	S214_3	False	407	9	2216	t.05.02	3703	19764	16061.0
18708.0	172	through	through.	S214_3	False	172	9	2647	t.05.02	3703	19764	16061.0
18946.0	281	circuit	circuits	S214_3	False	281	2	2885	t.05.02	3703	19764	16061.0
19269.0	122	electric	Electrical	S214_3	False	122	1	3208	t.05.02	3703	19764	16061.0
19432.0	186	that	that	S214_3	False	186	6	3371	t.05.02	3703	19764	16061.0
19660.0	191	flow	flows	S214_3	False	191	8	3599	t.05.02	3703	19764	16061.0
n/a	86	n/a	n/a	S214_3	False	86	.	9	.	.	.	n/a
21299.0	276	this	This	S214_3	False	276	1	0	t.05.03	2543	23842	21299.0
21598.0	154	this	This	S214_3	False	154	1	299	t.05.03	2543	23842	21299.0
21795.0	248	that	that	S214_3	False	248	3	496	t.05.03	2543	23842	21299.0
22081.0	172	entire	entire	S214_3	False	172	5	782	t.05.03	2543	23842	21299.0
22293.0	194	must	must	S214_3	False	194	7	994	t.05.03	2543	23842	21299.0
22509.0	171	be	be	S214_3	False	171	8	1210	t.05.03	2543	23842	21299.0
22704.0	229	connect	connected	S214_3	False	229	9	1405	t.05.03	2543	23842	21299.0
22960.0	375	like	like	S214_3	False	375	10	1661	t.05.03	2543	23842	21299.0
23371.0	559	loop	loop.	S214_3	False	559	12	2072	t.05.03	2543	23842	21299.0
n/a	88	n/a	n/a	S214_3	False	88	.	7	.	.	.	n/a
25369.0	342	imagine	Imagine	S214_3	False	342	1	0	t.05.04	2884	28253	25369.0
25736.0	408	simple	simple	S214_3	False	408	3	367	t.05.04	2884	28253	25369.0
26182.0	252	circuit	circuit	S214_3	False	252	4	813	t.05.04	2884	28253	25369.0
26468.0	160	with	with	S214_3	False	160	6	1099	t.05.04	2884	28253	25369.0
26661.0	151	a	a	S214_3	False	151	7	1292	t.05.04	2884	28253	25369.0
26837.0	158	battery	battery	S214_3	False	158	8	1468	t.05.04	2884	28253	25369.0
27036.0	292	piece	piece	S214_3	False	292	11	1667	t.05.04	2884	28253	25369.0
27348.0	188	piece	piece	S214_3	False	188	11	1979	t.05.04	2884	28253	25369.0
27558.0	344	wire	wire.	S214_3	False	344	13	2189	t.05.04	2884	28253	25369.0
27925.0	420	wire	wire.	S214_3	False	420	13	2556	t.05.04	2884	28253	25369.0
n/a	15	n/a	n/a	S214_3	False	15	.	7	.	.	.	n/a
n/a	38	n/a	n/a	S214_3	False	38	.	58	.	.	.	n/a
29789.0	309	n/a	n/a	S214_3	False	309	.	0	t.05.05	2043	31832	29789.0
30123.0	105	now	Now	S214_3	False	105	1	334	t.05.05	2043	31832	29789.0
30278.0	196	connect	connect	S214_3	False	196	2	489	t.05.05	2043	31832	29789.0
30512.0	170	end	end	S214_3	False	170	4	723	t.05.05	2043	31832	29789.0
30720.0	175	wire	wire	S214_3	False	175	7	931	t.05.05	2043	31832	29789.0
30939.0	205	different	different	S214_3	False	205	9	1150	t.05.05	2043	31832	29789.0
