onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	75	n/a	n/a	S31_2	False	75	.	19	.	.	.	n/a
9549.0	182	n/a	n/a	S31_2	False	182	.	0	t.04.01	4503	14052	9549.0
9759.0	140	positioning	Positioning	S31_2	False	140	2	210	t.04.01	4503	14052	9549.0
9916.0	319	global	Global	S31_2	False	319	1	367	t.04.01	4503	14052	9549.0
10249.0	165	global	Global	S31_2	False	165	1	700	t.04.01	4503	14052	9549.0
10440.0	233	positioning	Positioning	S31_2	False	233	2	891	t.04.01	4503	14052	9549.0
10682.0	206	positioning	Positioning	S31_2	False	206	2	1133	t.04.01	4503	14052	9549.0
10915.0	226	system	System	S31_2	False	226	3	1366	t.04.01	4503	14052	9549.0
11147.0	136	system	System	S31_2	False	136	3	1598	t.04.01	4503	14052	9549.0
11307.0	353	GPS	(GPS)	S31_2	False	353	4	1758	t.04.01	4503	14052	9549.0
11690.0	328	be	is	S31_2	False	328	5	2141	t.04.01	4503	14052	9549.0
12080.0	101	system	system	S31_2	False	101	7	2531	t.04.01	4503	14052	9549.0
12238.0	65	system	system	S31_2	False	65	7	2689	t.04.01	4503	14052	9549.0
12311.0	131	system	system	S31_2	False	131	7	2762	t.04.01	4503	14052	9549.0
12469.0	243	help	helps	S31_2	False	243	9	2920	t.04.01	4503	14052	9549.0
12737.0	402	navigate	navigate.	S31_2	False	402	11	3188	t.04.01	4503	14052	9549.0
13161.0	40	us	us	S31_2	False	40	10	3612	t.04.01	4503	14052	9549.0
13215.0	182	us	us	S31_2	False	182	10	3666	t.04.01	4503	14052	9549.0
13427.0	201	navigate	navigate.	S31_2	False	201	11	3878	t.04.01	4503	14052	9549.0
13650.0	285	us	us	S31_2	False	285	10	4101	t.04.01	4503	14052	9549.0
13991.0	146	positioning	Positioning	S31_2	False	146	2	4442	t.04.01	4503	14052	9549.0
