onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	83	n/a	n/a	S16_4	False	83	.	7	.	.	.	n/a
9538.0	197	engineer	Engineers	S16_4	False	197	1	0	t.05.01	4568	14106	9538.0
9757.0	180	engineer	Engineers	S16_4	False	180	1	219	t.05.01	4568	14106	9538.0
9968.0	168	electric	electrical	S16_4	False	168	3	430	t.05.01	4568	14106	9538.0
10162.0	180	electric	electrical	S16_4	False	180	3	624	t.05.01	4568	14106	9538.0
10368.0	162	design	design	S16_4	False	162	2	830	t.05.01	4568	14106	9538.0
10570.0	253	circuit	circuits	S16_4	False	253	4	1032	t.05.01	4568	14106	9538.0
10858.0	220	power	power	S16_4	False	220	6	1320	t.05.01	4568	14106	9538.0
11107.0	275	building	buildings.	S16_4	False	275	9	1569	t.05.01	4568	14106	9538.0
11403.0	310	building	buildings.	S16_4	False	310	9	1865	t.05.01	4568	14106	9538.0
11720.0	143	building	buildings.	S16_4	False	143	9	2182	t.05.01	4568	14106	9538.0
12048.0	371	building	buildings.	S16_4	False	371	9	2510	t.05.01	4568	14106	9538.0
12446.0	460	home	homes	S16_4	False	460	7	2908	t.05.01	4568	14106	9538.0
12956.0	311	design	design	S16_4	False	311	2	3418	t.05.01	4568	14106	9538.0
13295.0	199	electric	electrical	S16_4	False	199	3	3757	t.05.01	4568	14106	9538.0
13527.0	118	circuit	circuits	S16_4	False	118	4	3989	t.05.01	4568	14106	9538.0
13827.0	134	home	homes	S16_4	False	134	7	4289	t.05.01	4568	14106	9538.0
13993.0	191	building	buildings.	S16_4	False	191	9	4455	t.05.01	4568	14106	9538.0
n/a	50	n/a	n/a	S16_4	False	50	.	7	.	.	.	n/a
n/a	16	n/a	n/a	S16_4	False	16	.	76	.	.	.	n/a
15643.0	273	electric	Electrical	S16_4	False	273	1	0	t.05.02	1789	17432	15643.0
