onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	91	n/a	n/a	S28_2	False	91	.	7	.	.	.	n/a
9547.0	205	engineer	Engineers	S28_2	False	205	1	0	t.05.01	3920	13467	9547.0
9777.0	282	engineer	Engineers	S28_2	False	282	1	230	t.05.01	3920	13467	9547.0
10082.0	313	design	design	S28_2	False	313	2	535	t.05.01	3920	13467	9547.0
10437.0	147	design	design	S28_2	False	147	2	890	t.05.01	3920	13467	9547.0
10609.0	265	electric	electrical	S28_2	False	265	3	1062	t.05.01	3920	13467	9547.0
10896.0	222	electric	electrical	S28_2	False	222	3	1349	t.05.01	3920	13467	9547.0
11135.0	49	electric	electrical	S28_2	False	49	3	1588	t.05.01	3920	13467	9547.0
11220.0	287	circuit	circuits	S28_2	False	287	4	1673	t.05.01	3920	13467	9547.0
11526.0	189	circuit	circuits	S28_2	False	189	4	1979	t.05.01	3920	13467	9547.0
11737.0	218	power	power	S28_2	False	218	6	2190	t.05.01	3920	13467	9547.0
11977.0	288	home	homes	S28_2	False	288	7	2430	t.05.01	3920	13467	9547.0
12287.0	132	and	and	S28_2	False	132	8	2740	t.05.01	3920	13467	9547.0
12867.0	104	building	buildings.	S28_2	False	104	9	3320	t.05.01	3920	13467	9547.0
13023.0	298	design	design	S28_2	False	298	2	3476	t.05.01	3920	13467	9547.0
13369.0	192	and	and	S28_2	False	192	8	3822	t.05.01	3920	13467	9547.0
n/a	89	n/a	n/a	S28_2	False	89	.	7	.	.	.	n/a
15002.0	198	electric	Electrical	S28_2	False	198	1	0	t.05.02	4500	19502	15002.0
15223.0	228	electric	Electrical	S28_2	False	228	1	221	t.05.02	4500	19502	15002.0
15478.0	401	circuit	circuits	S28_2	False	401	2	476	t.05.02	4500	19502	15002.0
15898.0	247	be	are	S28_2	False	247	3	896	t.05.02	4500	19502	15002.0
16163.0	232	close	closed	S28_2	False	232	4	1161	t.05.02	4500	19502	15002.0
16680.0	124	close	closed	S28_2	False	124	4	1678	t.05.02	4500	19502	15002.0
16822.0	253	path	paths	S28_2	False	253	5	1820	t.05.02	4500	19502	15002.0
17096.0	252	that	that	S28_2	False	252	6	2094	t.05.02	4500	19502	15002.0
17373.0	347	electricity	electricity	S28_2	False	347	7	2371	t.05.02	4500	19502	15002.0
17746.0	346	flow	flows	S28_2	False	346	8	2744	t.05.02	4500	19502	15002.0
18109.0	128	electricity	electricity	S28_2	False	128	7	3107	t.05.02	4500	19502	15002.0
18516.0	1013	flow	flows	S28_2	False	1013	8	3514	t.05.02	4500	19502	15002.0
19552.0	50	through	through.	S28_2	False	50	9	4550	t.05.02	4500	19502	15002.0
n/a	90	n/a	n/a	S28_2	False	90	.	7	.	.	.	n/a
21040.0	44	this	This	S28_2	False	44	1	0	t.05.03	4437	25477	21040.0
21090.0	135	this	This	S28_2	False	135	1	50	t.05.03	4437	25477	21040.0
21247.0	155	mean	means	S28_2	False	155	2	207	t.05.03	4437	25477	21040.0
21422.0	138	mean	means	S28_2	False	138	2	382	t.05.03	4437	25477	21040.0
21581.0	146	that	that	S28_2	False	146	3	541	t.05.03	4437	25477	21040.0
22068.0	218	entire	entire	S28_2	False	218	5	1028	t.05.03	4437	25477	21040.0
22308.0	111	path	path	S28_2	False	111	6	1268	t.05.03	4437	25477	21040.0
22442.0	51	must	must	S28_2	False	51	7	1402	t.05.03	4437	25477	21040.0
