onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	87	n/a	n/a	S41_4	False	87	.	7	.	.	.	n/a
9533.0	200	n/a	n/a	S41_4	False	200	.	0	t.04.01	2350	11883	9533.0
9751.0	143	n/a	n/a	S41_4	False	143	.	218	t.04.01	2350	11883	9533.0
9919.0	225	global	Global	S41_4	False	225	1	386	t.04.01	2350	11883	9533.0
10169.0	164	positioning	Positioning	S41_4	False	164	2	636	t.04.01	2350	11883	9533.0
10354.0	156	system	System	S41_4	False	156	3	821	t.04.01	2350	11883	9533.0
10533.0	245	GPS	(GPS)	S41_4	False	245	4	1000	t.04.01	2350	11883	9533.0
10807.0	262	be	is	S41_4	False	262	5	1274	t.04.01	2350	11883	9533.0
11097.0	181	system	system	S41_4	False	181	7	1564	t.04.01	2350	11883	9533.0
11304.0	157	help	helps	S41_4	False	157	9	1771	t.04.01	2350	11883	9533.0
11486.0	357	navigate	navigate.	S41_4	False	357	11	1953	t.04.01	2350	11883	9533.0
11869.0	103	help	helps	S41_4	False	103	9	2336	t.04.01	2350	11883	9533.0
n/a	82	n/a	n/a	S41_4	False	82	.	7	.	.	.	n/a
13420.0	187	n/a	n/a	S41_4	False	187	.	0	t.04.02	1882	15302	13420.0
13627.0	147	GPS	GPS	S41_4	False	147	1	207	t.04.02	1882	15302	13420.0
13800.0	148	a	a	S41_4	False	148	3	380	t.04.02	1882	15302	13420.0
13974.0	167	of	of	S41_4	False	167	5	554	t.04.02	1882	15302	13420.0
14165.0	241	n/a	n/a	S41_4	False	241	.	745	t.04.02	1882	15302	13420.0
14431.0	188	satellite	satellites	S41_4	False	188	9	1011	t.04.02	1882	15302	13420.0
14827.0	73	satellite	satellites	S41_4	False	73	9	1407	t.04.02	1882	15302	13420.0
14924.0	231	space	space.	S41_4	False	231	11	1504	t.04.02	1882	15302	13420.0
15225.0	176	n/a	24	S41_4	False	176	6	1805	t.04.02	1882	15302	13420.0
n/a	82	n/a	n/a	S41_4	False	82	.	7	.	.	.	n/a
16839.0	294	these	These	S41_4	False	294	1	0	t.04.03	1968	18807	16839.0
17159.0	119	satellite	satellites	S41_4	False	119	2	320	t.04.03	1968	18807	16839.0
17305.0	208	orbit	orbit	S41_4	False	208	3	466	t.04.03	1968	18807	16839.0
17539.0	203	about	about	S41_4	False	203	5	700	t.04.03	1968	18807	16839.0
17766.0	169	n/a	12,000	S41_4	False	169	6	927	t.04.03	1968	18807	16839.0
17960.0	203	mile	miles	S41_4	False	203	7	1121	t.04.03	1968	18807	16839.0
