onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	87	n/a	n/a	S17_3	False	87	.	7	.	.	.	n/a
9531.0	191	n/a	n/a	S17_3	True	191	.	0	t.03.01	7621	17152	9531.0
9741.0	136	important	important	S17_3	True	136	2	210	t.03.01	7621	17152	9531.0
9888.0	206	important	important	S17_3	True	206	2	357	t.03.01	7621	17152	9531.0
10113.0	126	important	important	S17_3	True	126	2	582	t.03.01	7621	17152	9531.0
10264.0	259	two	Two	S17_3	True	259	1	733	t.03.01	7621	17152	9531.0
10541.0	83	important	important	S17_3	True	83	2	1010	t.03.01	7621	17152	9531.0
10644.0	231	math	math	S17_3	True	231	3	1113	t.03.01	7621	17152	9531.0
10896.0	182	concept	concepts	S17_3	True	182	4	1365	t.03.01	7621	17152	9531.0
11116.0	366	combination	combinations	S17_3	True	366	6	1585	t.03.01	7621	17152	9531.0
11522.0	350	permutation	permutations.	S17_3	True	350	8	1991	t.03.01	7621	17152	9531.0
11906.0	301	combination	combinations	S17_3	True	301	6	2375	t.03.01	7621	17152	9531.0
12221.0	272	combination	combinations	S17_3	True	272	6	2690	t.03.01	7621	17152	9531.0
12509.0	59	combination	combinations	S17_3	True	59	6	2978	t.03.01	7621	17152	9531.0
12595.0	231	permutation	permutations.	S17_3	True	231	8	3064	t.03.01	7621	17152	9531.0
12860.0	469	combination	combinations	S17_3	True	469	6	3329	t.03.01	7621	17152	9531.0
13377.0	122	important	important	S17_3	True	122	2	3846	t.03.01	7621	17152	9531.0
13655.0	160	important	important	S17_3	True	160	2	4124	t.03.01	7621	17152	9531.0
13832.0	69	important	important	S17_3	True	69	2	4301	t.03.01	7621	17152	9531.0
13926.0	206	concept	concepts	S17_3	True	206	4	4395	t.03.01	7621	17152	9531.0
14148.0	84	concept	concepts	S17_3	True	84	4	4617	t.03.01	7621	17152	9531.0
14254.0	218	be	are	S17_3	True	218	5	4723	t.03.01	7621	17152	9531.0
14500.0	225	combination	combinations	S17_3	True	225	6	4969	t.03.01	7621	17152	9531.0
14739.0	390	combination	combinations	S17_3	True	390	6	5208	t.03.01	7621	17152	9531.0
