onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	87	n/a	n/a	S50_1	False	87	.	7	.	.	.	n/a
9522.0	174	n/a	n/a	S50_1	False	174	.	0	t.03.01	2265	11787	9522.0
9717.0	50	two	Two	S50_1	False	50	1	195	t.03.01	2265	11787	9522.0
9799.0	198	important	important	S50_1	False	198	2	277	t.03.01	2265	11787	9522.0
10033.0	179	math	math	S50_1	False	179	3	511	t.03.01	2265	11787	9522.0
10244.0	184	concept	concepts	S50_1	False	184	4	722	t.03.01	2265	11787	9522.0
10458.0	300	combination	combinations	S50_1	False	300	6	936	t.03.01	2265	11787	9522.0
10793.0	788	permutation	permutations.	S50_1	False	788	8	1271	t.03.01	2265	11787	9522.0
11592.0	291	permutation	permutations.	S50_1	False	291	8	2070	t.03.01	2265	11787	9522.0
n/a	86	n/a	n/a	S50_1	False	86	.	7	.	.	.	n/a
13309.0	183	n/a	n/a	S50_1	False	183	.	0	t.03.02	1941	15250	13309.0
13524.0	159	combination	Combinations	S50_1	False	159	1	215	t.03.02	1941	15250	13309.0
13722.0	272	permutation	permutations	S50_1	False	272	3	413	t.03.02	1941	15250	13309.0
14025.0	233	permutation	permutations	S50_1	False	233	3	716	t.03.02	1941	15250	13309.0
14340.0	212	similar	similar	S50_1	False	212	5	1031	t.03.02	1941	15250	13309.0
14579.0	394	several	several	S50_1	False	394	7	1270	t.03.02	1941	15250	13309.0
14998.0	234	way	ways.	S50_1	False	234	8	1689	t.03.02	1941	15250	13309.0
15294.0	42	similar	similar	S50_1	False	42	5	1985	t.03.02	1941	15250	13309.0
n/a	41	n/a	n/a	S50_1	False	41	.	7	.	.	.	n/a
n/a	16	n/a	n/a	S50_1	False	16	.	78	.	.	.	n/a
16762.0	216	both	Both	S50_1	False	216	1	0	t.03.03	3245	20007	16762.0
17001.0	154	refer	refer	S50_1	False	154	2	239	t.03.03	3245	20007	16762.0
17190.0	251	set	sets	S50_1	False	251	4	428	t.03.03	3245	20007	16762.0
17473.0	186	object	objects	S50_1	False	186	6	711	t.03.03	3245	20007	16762.0
17696.0	164	set	sets	S50_1	False	164	4	934	t.03.03	3245	20007	16762.0
17885.0	193	object	objects	S50_1	False	193	6	1123	t.03.03	3245	20007	16762.0
18111.0	104	that	that	S50_1	False	104	7	1349	t.03.03	3245	20007	16762.0
18341.0	157	object	objects	S50_1	False	157	6	1579	t.03.03	3245	20007	16762.0
18530.0	91	you	you	S50_1	False	91	8	1768	t.03.03	3245	20007	16762.0
18802.0	154	arrange	arrange	S50_1	False	154	11	2040	t.03.03	3245	20007	16762.0
18975.0	249	arrange	arrange	S50_1	False	249	11	2213	t.03.03	3245	20007	16762.0
19261.0	233	pick	pick	S50_1	False	233	9	2499	t.03.03	3245	20007	16762.0
19527.0	228	arrange	arrange	S50_1	False	228	11	2765	t.03.03	3245	20007	16762.0
19772.0	210	in	in	S50_1	False	210	12	3010	t.03.03	3245	20007	16762.0
20050.0	55	both	Both	S50_1	False	55	1	3288	t.03.03	3245	20007	16762.0
n/a	67	n/a	n/a	S50_1	False	67	.	23	.	.	.	n/a
21549.0	265	set	set	S50_1	False	265	2	0	t.03.04	3666	25215	21549.0
21847.0	259	could	could	S50_1	False	259	3	298	t.03.04	3666	25215	21549.0
22128.0	226	number	numbers	S50_1	False	226	6	579	t.03.04	3666	25215	21549.0
22377.0	145	the	the	S50_1	False	145	5	828	t.03.04	3666	25215	21549.0
22553.0	212	through	through	S50_1	False	212	8	1004	t.03.04	3666	25215	21549.0
22787.0	288	n/a	9,	S50_1	False	288	9	1238	t.03.04	3666	25215	21549.0
23102.0	394	available	available	S50_1	False	394	11	1553	t.03.04	3666	25215	21549.0
23518.0	229	pizza	pizza	S50_1	False	229	12	1969	t.03.04	3666	25215	21549.0
23772.0	172	topping	toppings.	S50_1	False	172	13	2223	t.03.04	3666	25215	21549.0
23994.0	205	available	available	S50_1	False	205	11	2445	t.03.04	3666	25215	21549.0
24243.0	250	topping	toppings.	S50_1	False	250	13	2694	t.03.04	3666	25215	21549.0
24623.0	185	number	numbers	S50_1	False	185	6	3074	t.03.04	3666	25215	21549.0
24858.0	187	could	could	S50_1	False	187	3	3309	t.03.04	3666	25215	21549.0
25256.0	52	topping	toppings.	S50_1	False	52	13	3707	t.03.04	3666	25215	21549.0
n/a	86	n/a	n/a	S50_1	False	86	.	7	.	.	.	n/a
26753.0	197	combination	combinations	S50_1	False	197	2	0	t.03.05	2131	28884	26753.0
