onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	85	n/a	n/a	S48_5	False	85	.	12	.	.	.	n/a
9552.0	205	n/a	n/a	S48_5	False	205	.	0	t.03.01	4854	14406	9552.0
9773.0	66	two	Two	S48_5	False	66	1	221	t.03.01	4854	14406	9552.0
9878.0	179	important	important	S48_5	False	179	2	326	t.03.01	4854	14406	9552.0
10090.0	139	concept	concepts	S48_5	False	139	4	538	t.03.01	4854	14406	9552.0
10253.0	150	be	are	S48_5	False	150	5	701	t.03.01	4854	14406	9552.0
10429.0	274	combination	combinations	S48_5	False	274	6	877	t.03.01	4854	14406	9552.0
10740.0	183	and	and	S48_5	False	183	7	1188	t.03.01	4854	14406	9552.0
10960.0	206	combination	combinations	S48_5	False	206	6	1408	t.03.01	4854	14406	9552.0
11190.0	41	be	are	S48_5	False	41	5	1638	t.03.01	4854	14406	9552.0
11266.0	50	important	important	S48_5	False	50	2	1714	t.03.01	4854	14406	9552.0
11357.0	240	two	Two	S48_5	False	240	1	1805	t.03.01	4854	14406	9552.0
11626.0	56	important	important	S48_5	False	56	2	2074	t.03.01	4854	14406	9552.0
11711.0	156	important	important	S48_5	False	156	2	2159	t.03.01	4854	14406	9552.0
11891.0	193	math	math	S48_5	False	193	3	2339	t.03.01	4854	14406	9552.0
12106.0	165	concept	concepts	S48_5	False	165	4	2554	t.03.01	4854	14406	9552.0
12297.0	88	be	are	S48_5	False	88	5	2745	t.03.01	4854	14406	9552.0
12408.0	823	combination	combinations	S48_5	False	823	6	2856	t.03.01	4854	14406	9552.0
13251.0	172	combination	combinations	S48_5	False	172	6	3699	t.03.01	4854	14406	9552.0
13453.0	273	permutation	permutations.	S48_5	False	273	8	3901	t.03.01	4854	14406	9552.0
13748.0	261	and	and	S48_5	False	261	7	4196	t.03.01	4854	14406	9552.0
14035.0	188	permutation	permutations.	S48_5	False	188	8	4483	t.03.01	4854	14406	9552.0
14284.0	215	important	important	S48_5	False	215	2	4732	t.03.01	4854	14406	9552.0
n/a	75	n/a	n/a	S48_5	False	75	.	7	.	.	.	n/a
15952.0	195	combination	Combinations	S48_5	False	195	1	12	t.03.02	3939	19879	15940.0
16171.0	451	combination	Combinations	S48_5	False	451	1	231	t.03.02	3939	19879	15940.0
16649.0	154	permutation	permutations	S48_5	False	154	3	709	t.03.02	3939	19879	15940.0
16824.0	163	permutation	permutations	S48_5	False	163	3	884	t.03.02	3939	19879	15940.0
17027.0	178	be	are	S48_5	False	178	4	1087	t.03.02	3939	19879	15940.0
17213.0	79	be	are	S48_5	False	79	4	1273	t.03.02	3939	19879	15940.0
17335.0	234	and	and	S48_5	False	234	2	1395	t.03.02	3939	19879	15940.0
17614.0	163	similar	similar	S48_5	False	163	5	1674	t.03.02	3939	19879	15940.0
17807.0	40	in	in	S48_5	False	40	6	1867	t.03.02	3939	19879	15940.0
17880.0	230	several	several	S48_5	False	230	7	1940	t.03.02	3939	19879	15940.0
18140.0	81	similar	similar	S48_5	False	81	5	2200	t.03.02	3939	19879	15940.0
18252.0	210	permutation	permutations	S48_5	False	210	3	2312	t.03.02	3939	19879	15940.0
18488.0	224	permutation	permutations	S48_5	False	224	3	2548	t.03.02	3939	19879	15940.0
18742.0	71	similar	similar	S48_5	False	71	5	2802	t.03.02	3939	19879	15940.0
18840.0	254	several	several	S48_5	False	254	7	2900	t.03.02	3939	19879	15940.0
19124.0	520	way	ways.	S48_5	False	520	8	3184	t.03.02	3939	19879	15940.0
19712.0	254	combination	Combinations	S48_5	False	254	1	3772	t.03.02	3939	19879	15940.0
n/a	88	n/a	n/a	S48_5	False	88	.	7	.	.	.	n/a
