onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	86	n/a	n/a	S105_3	False	86	.	7	.	.	.	n/a
9581.0	158	n/a	n/a	S105_3	False	158	.	0	t.05.01	2898	12479	9581.0
9770.0	159	engineer	Engineers	S105_3	False	159	1	189	t.05.01	2898	12479	9581.0
9953.0	224	design	design	S105_3	False	224	2	372	t.05.01	2898	12479	9581.0
10212.0	201	electric	electrical	S105_3	False	201	3	631	t.05.01	2898	12479	9581.0
10449.0	295	circuit	circuits	S105_3	False	295	4	868	t.05.01	2898	12479	9581.0
10783.0	204	electric	electrical	S105_3	False	204	3	1202	t.05.01	2898	12479	9581.0
11018.0	227	power	power	S105_3	False	227	6	1437	t.05.01	2898	12479	9581.0
11282.0	163	home	homes	S105_3	False	163	7	1701	t.05.01	2898	12479	9581.0
11477.0	202	building	buildings.	S105_3	False	202	9	1896	t.05.01	2898	12479	9581.0
11717.0	205	home	homes	S105_3	False	205	7	2136	t.05.01	2898	12479	9581.0
11961.0	462	building	buildings.	S105_3	False	462	9	2380	t.05.01	2898	12479	9581.0
12489.0	85	engineer	Engineers	S105_3	False	85	1	2908	t.05.01	2898	12479	9581.0
n/a	87	n/a	n/a	S105_3	False	87	.	7	.	.	.	n/a
14035.0	177	electric	Electrical	S105_3	False	177	1	0	t.05.02	2983	17018	14035.0
14232.0	167	electric	Electrical	S105_3	False	167	1	197	t.05.02	2983	17018	14035.0
14424.0	233	circuit	circuits	S105_3	False	233	2	389	t.05.02	2983	17018	14035.0
14686.0	271	close	closed	S105_3	False	271	4	651	t.05.02	2983	17018	14035.0
14979.0	273	path	paths	S105_3	False	273	5	944	t.05.02	2983	17018	14035.0
15293.0	215	electricity	electricity	S105_3	False	215	7	1258	t.05.02	2983	17018	14035.0
15536.0	145	flow	flows	S105_3	False	145	8	1501	t.05.02	2983	17018	14035.0
15710.0	194	n/a	n/a	S105_3	False	194	.	1675	t.05.02	2983	17018	14035.0
15918.0	128	that	that	S105_3	False	128	6	1883	t.05.02	2983	17018	14035.0
16074.0	146	flow	flows	S105_3	False	146	8	2039	t.05.02	2983	17018	14035.0
16246.0	766	through	through.	S105_3	False	766	9	2211	t.05.02	2983	17018	14035.0
n/a	88	n/a	n/a	S105_3	False	88	.	7	.	.	.	n/a
18555.0	286	this	This	S105_3	False	286	1	0	t.05.03	2526	21081	18555.0
18873.0	124	mean	means	S105_3	False	124	2	318	t.05.03	2526	21081	18555.0
19034.0	147	the	the	S105_3	False	147	4	479	t.05.03	2526	21081	18555.0
19213.0	217	entire	entire	S105_3	False	217	5	658	t.05.03	2526	21081	18555.0
19468.0	162	path	path	S105_3	False	162	6	913	t.05.03	2526	21081	18555.0
19670.0	219	connect	connected	S105_3	False	219	9	1115	t.05.03	2526	21081	18555.0
19916.0	249	like	like	S105_3	False	249	10	1361	t.05.03	2526	21081	18555.0
20489.0	134	loop	loop.	S105_3	False	134	12	1934	t.05.03	2526	21081	18555.0
20644.0	185	a	a	S105_3	False	185	11	2089	t.05.03	2526	21081	18555.0
20846.0	178	like	like	S105_3	False	178	10	2291	t.05.03	2526	21081	18555.0
21048.0	117	loop	loop.	S105_3	False	117	12	2493	t.05.03	2526	21081	18555.0
n/a	86	n/a	n/a	S105_3	False	86	.	7	.	.	.	n/a
22658.0	242	imagine	Imagine	S105_3	False	242	1	0	t.05.04	1989	24647	22658.0
22926.0	272	simple	simple	S105_3	False	272	3	268	t.05.04	1989	24647	22658.0
23231.0	159	circuit	circuit	S105_3	False	159	4	573	t.05.04	1989	24647	22658.0
23417.0	141	make	made	S105_3	False	141	5	759	t.05.04	1989	24647	22658.0
23597.0	187	battery	battery	S105_3	False	187	8	939	t.05.04	1989	24647	22658.0
23813.0	261	piece	piece	S105_3	False	261	11	1155	t.05.04	1989	24647	22658.0
24097.0	286	wire	wire.	S105_3	False	286	13	1439	t.05.04	1989	24647	22658.0
24406.0	304	piece	piece	S105_3	False	304	11	1748	t.05.04	1989	24647	22658.0
n/a	87	n/a	n/a	S105_3	False	87	.	7	.	.	.	n/a
26195.0	190	now	Now	S105_3	False	190	1	0	t.05.05	1545	27740	26195.0
26410.0	169	connect	connect	S105_3	False	169	2	215	t.05.05	1545	27740	26195.0
26603.0	244	end	end	S105_3	False	244	4	408	t.05.05	1545	27740	26195.0
26873.0	151	the	the	S105_3	False	151	6	678	t.05.05	1545	27740	26195.0
27049.0	164	different	different	S105_3	False	164	9	854	t.05.05	1545	27740	26195.0
27248.0	208	the	the	S105_3	False	208	12	1053	t.05.05	1545	27740	26195.0
27481.0	257	end	ends	S105_3	False	257	10	1286	t.05.05	1545	27740	26195.0
27764.0	70	the	the	S105_3	False	70	12	1569	t.05.05	1545	27740	26195.0
n/a	78	n/a	n/a	S105_3	False	78	.	9	.	.	.	n/a
29280.0	163	your	Your	S105_3	False	163	1	0	t.05.06	1922	31202	29280.0
29452.0	144	your	Your	S105_3	False	144	1	172	t.05.06	1922	31202	29280.0
29647.0	143	wire	wire	S105_3	False	143	4	367	t.05.06	1922	31202	29280.0
29824.0	208	battery	battery	S105_3	False	208	6	544	t.05.06	1922	31202	29280.0
30058.0	239	now	now	S105_3	False	239	7	778	t.05.06	1922	31202	29280.0
30323.0	173	circle	circle	S105_3	False	173	10	1043	t.05.06	1922	31202	29280.0
30522.0	601	circular	circular	S105_3	False	601	12	1242	t.05.06	1922	31202	29280.0
31158.0	123	circle	circle	S105_3	False	123	10	1878	t.05.06	1922	31202	29280.0
n/a	85	n/a	n/a	S105_3	False	85	.	10	.	.	.	n/a
32766.0	211	one	One	S105_3	False	211	1	0	t.05.07	2045	34811	32766.0
33004.0	217	the	the	S105_3	False	217	4	238	t.05.07	2045	34811	32766.0
33254.0	110	end	end	S105_3	False	110	2	488	t.05.07	2045	34811	32766.0
33392.0	176	be	is	S105_3	False	176	6	626	t.05.07	2045	34811	32766.0
33819.0	108	the	the	S105_3	False	108	9	1053	t.05.07	2045	34811	32766.0
33951.0	257	other	other	S105_3	False	257	10	1185	t.05.07	2045	34811	32766.0
34482.0	107	negative	negative.	S105_3	False	107	12	1716	t.05.07	2045	34811	32766.0
34652.0	260	the	the	S105_3	False	260	4	1886	t.05.07	2045	34811	32766.0
n/a	87	n/a	n/a	S105_3	False	87	.	7	.	.	.	n/a
36369.0	314	electron	Electrons	S105_3	False	314	1	0	t.05.08	1891	38260	36369.0
36710.0	277	will	will	S105_3	False	277	2	341	t.05.08	1891	38260	36369.0
37008.0	197	flow	flow	S105_3	False	197	3	639	t.05.08	1891	38260	36369.0
37242.0	190	this	this	S105_3	False	190	5	873	t.05.08	1891	38260	36369.0
37455.0	150	circuit	circuit	S105_3	False	150	6	1086	t.05.08	1891	38260	36369.0
37629.0	221	through	through	S105_3	False	221	7	1260	t.05.08	1891	38260	36369.0
37873.0	218	the	the	S105_3	False	218	8	1504	t.05.08	1891	38260	36369.0
n/a	91	n/a	n/a	S105_3	False	91	.	7	.	.	.	n/a
39789.0	178	you	You	S105_3	False	178	1	0	t.05.09	1255	41044	39789.0
39987.0	149	have	have	S105_3	False	149	2	198	t.05.09	1255	41044	39789.0
40161.0	264	create	created	S105_3	False	264	4	372	t.05.09	1255	41044	39789.0
40451.0	172	simple	simple	S105_3	False	172	6	662	t.05.09	1255	41044	39789.0
40648.0	480	electric	electrical	S105_3	False	480	7	859	t.05.09	1255	41044	39789.0
n/a	9	n/a	n/a	S105_3	False	9	.	55	.	.	.	n/a
n/a	8	n/a	n/a	S105_3	False	8	.	85	.	.	.	n/a
42574.0	183	remove	Removing	S105_3	False	183	1	0	t.05.10	2921	45495	42574.0
42762.0	127	remove	Removing	S105_3	False	127	1	188	t.05.10	2921	45495	42574.0
42923.0	279	the	the	S105_3	False	279	2	349	t.05.10	2921	45495	42574.0
43225.0	196	remove	Removing	S105_3	False	196	1	651	t.05.10	2921	45495	42574.0
43480.0	297	from	from	S105_3	False	297	4	906	t.05.10	2921	45495	42574.0
43804.0	266	battery	battery	S105_3	False	266	6	1230	t.05.10	2921	45495	42574.0
44094.0	190	will	will	S105_3	False	190	7	1520	t.05.10	2921	45495	42574.0
44311.0	334	flow	flow	S105_3	False	334	10	1737	t.05.10	2921	45495	42574.0
