onset	duration	Lemmas	Words	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
n/a	64	n/a	n/a	S19_4	False	64	.	7	.	.	.	n/a
n/a	8	n/a	n/a	S19_4	False	8	.	86	.	.	.	n/a
9541.0	318	global	Global	S19_4	False	318	1	0	t.04.01	3242	12783	9541.0
9887.0	403	positioning	Positioning	S19_4	False	403	2	346	t.04.01	3242	12783	9541.0
10315.0	175	system	System	S19_4	False	175	3	774	t.04.01	3242	12783	9541.0
10505.0	405	system	System	S19_4	False	405	3	964	t.04.01	3242	12783	9541.0
10932.0	296	GPS	(GPS)	S19_4	False	296	4	1391	t.04.01	3242	12783	9541.0
11234.0	90	be	is	S19_4	False	90	5	1693	t.04.01	3242	12783	9541.0
11343.0	237	a	a	S19_4	False	237	6	1802	t.04.01	3242	12783	9541.0
11600.0	146	system	system	S19_4	False	146	7	2059	t.04.01	3242	12783	9541.0
11769.0	305	help	helps	S19_4	False	305	9	2228	t.04.01	3242	12783	9541.0
12093.0	150	help	helps	S19_4	False	150	9	2552	t.04.01	3242	12783	9541.0
12270.0	425	navigate	navigate.	S19_4	False	425	11	2729	t.04.01	3242	12783	9541.0
12759.0	107	positioning	Positioning	S19_4	False	107	2	3218	t.04.01	3242	12783	9541.0
n/a	85	n/a	n/a	S19_4	False	85	.	7	.	.	.	n/a
14312.0	190	GPS	GPS	S19_4	False	190	1	0	t.04.02	2494	16806	14312.0
14519.0	197	be	is	S19_4	False	197	2	207	t.04.02	2494	16806	14312.0
14734.0	215	system	system	S19_4	False	215	4	422	t.04.02	2494	16806	14312.0
14967.0	149	system	system	S19_4	False	149	4	655	t.04.02	2494	16806	14312.0
15140.0	187	n/a	24	S19_4	False	187	6	828	t.04.02	2494	16806	14312.0
15344.0	350	or	or	S19_4	False	350	7	1032	t.04.02	2494	16806	14312.0
15705.0	211	or	or	S19_4	False	211	7	1393	t.04.02	2494	16806	14312.0
15933.0	166	more	more	S19_4	False	166	8	1621	t.04.02	2494	16806	14312.0
16126.0	263	satellite	satellites	S19_4	False	263	9	1814	t.04.02	2494	16806	14312.0
16415.0	231	in	in	S19_4	False	231	10	2103	t.04.02	2494	16806	14312.0
16661.0	118	space	space.	S19_4	False	118	11	2349	t.04.02	2494	16806	14312.0
16818.0	86	or	or	S19_4	False	86	7	2506	t.04.02	2494	16806	14312.0
n/a	87	n/a	n/a	S19_4	False	87	.	7	.	.	.	n/a
18349.0	249	these	These	S19_4	False	249	1	0	t.04.03	2461	20810	18349.0
18620.0	170	satellite	satellites	S19_4	False	170	2	271	t.04.03	2461	20810	18349.0
18814.0	219	orbit	orbit	S19_4	False	219	3	465	t.04.03	2461	20810	18349.0
19053.0	286	at	at	S19_4	False	286	4	704	t.04.03	2461	20810	18349.0
19364.0	164	n/a	12,000	S19_4	False	164	6	1015	t.04.03	2461	20810	18349.0
19543.0	235	n/a	12,000	S19_4	False	235	6	1194	t.04.03	2461	20810	18349.0
19800.0	262	mile	miles	S19_4	False	262	7	1451	t.04.03	2461	20810	18349.0
20087.0	243	above	above	S19_4	False	243	8	1738	t.04.03	2461	20810	18349.0
20352.0	187	the	the	S19_4	False	187	9	2003	t.04.03	2461	20810	18349.0
20576.0	281	n/a	12,000	S19_4	False	281	6	2227	t.04.03	2461	20810	18349.0
20872.0	35	n/a	12,000	S19_4	False	35	6	2523	t.04.03	2461	20810	18349.0
n/a	87	n/a	n/a	S19_4	False	87	.	7	.	.	.	n/a
22352.0	343	different	Different	S19_4	False	343	1	0	t.04.04	2001	24353	22352.0
22721.0	264	satellite	satellites	S19_4	False	264	2	369	t.04.04	2001	24353	22352.0
23010.0	218	orbit	orbit	S19_4	False	218	3	658	t.04.04	2001	24353	22352.0
23247.0	245	the	the	S19_4	False	245	4	895	t.04.04	2001	24353	22352.0
23512.0	93	earth	Earth	S19_4	False	93	5	1160	t.04.04	2001	24353	22352.0
23626.0	306	different	different	S19_4	False	306	7	1274	t.04.04	2001	24353	22352.0
23958.0	154	location	locations.	S19_4	False	154	8	1606	t.04.04	2001	24353	22352.0
24131.0	134	location	locations.	S19_4	False	134	8	1779	t.04.04	2001	24353	22352.0
24324.0	127	satellite	satellites	S19_4	False	127	2	1972	t.04.04	2001	24353	22352.0
n/a	89	n/a	n/a	S19_4	False	89	.	7	.	.	.	n/a
25888.0	98	circle	circle	S19_4	False	98	2	0	t.04.05	2608	28496	25888.0
25992.0	173	they	They	S19_4	False	173	1	104	t.04.05	2608	28496	25888.0
26189.0	163	circle	circle	S19_4	False	163	2	301	t.04.05	2608	28496	25888.0
26361.0	69	circle	circle	S19_4	False	69	2	473	t.04.05	2608	28496	25888.0
26436.0	52	circle	circle	S19_4	False	52	2	548	t.04.05	2608	28496	25888.0
26579.0	194	circle	circle	S19_4	False	194	2	691	t.04.05	2608	28496	25888.0
